time,pH_med,pH_std,aragonite_med,aragonite_std,calcite_med,calcite_std
1750.0,8.172083939038687,0.01737397420867526,4.4269730363423205,0.1344103165298945,6.6723305978898,0.2000656506447831
1850.0,8.157204923798357,0.01674560375146542,4.3218288393903865,0.12857209847596715,6.51379835873388,0.19130128956623682
1860.0,8.15609894490035,0.012618053927315357,4.31537162954279,0.0927033997655334,6.504961313012896,0.13837514654161784
1870.0,8.153974208675264,0.01264947245017585,4.305085580304807,0.09993434935521689,6.488208675263775,0.1483282532239156
1880.0,8.152434935521688,0.011158030480656507,4.28599531066823,0.08744665885111373,6.460862837045721,0.12981477139507622
1890.0,8.150552637749122,0.011720046893317702,4.270679953106682,0.08611723329425557,6.437767878077374,0.12844783118405628
1900.0,8.14580468933177,0.01051934349355217,4.249329425556858,0.08062602579132473,6.403552168815944,0.119831184056272
1910.0,8.143529425556858,0.01231770222743259,4.231033997655334,0.09612426729191091,6.376867526377492,0.14255099648300118
1920.0,8.13829308323564,0.011538569753810082,4.203650644783118,0.08853223915592028,6.333692848769051,0.1312989449003517
1930.0,8.135759437280187,0.011747245017584996,4.191317702227433,0.08303868698710433,6.314363423212192,0.12345603751465416
1940.0,8.131372801875733,0.013541617819460726,4.165758499413833,0.09852520515826496,6.275172332942556,0.14700586166471277
1950.0,8.12882837045721,0.01171746776084408,4.1488651817116065,0.08200234466588512,6.249697538100821,0.12266822977725676
1960.0,8.126309964830012,0.010535521688159437,4.123894490035171,0.07535756154747948,6.213097303634232,0.11245720984759672
1970.0,8.120099413833529,0.011204454865181712,4.081810082063305,0.0811324736225088,6.149826494724501,0.12066822977725673
1980.0,8.108370691676436,0.01075638921453693,4.010928487690504,0.07403048065650646,6.041430246189918,0.1105369284876905
1990.0,8.094926846424384,0.01073411488862837,3.9302555685814773,0.07620164126611957,5.918961313012896,0.11331535756154747
2000.0,8.079463540445486,0.01197350527549824,3.860508792497069,0.08286752637749122,5.8088980070339975,0.12355216881594373
2010.0,8.063326846424385,0.0,3.77357796014068,0.0,5.674954279015241,0.0
